FID,capa,CHAPA,ORDEN,FAMILIA,ESPECIE,NOMB_COMUN,NOTAS,ENLACE,UTM_X,UTM_Y,GRAD_X,GRAD_Y
66.0,ABP,SÍ,81.0,Boraginaceae,Cordia sebestena,Nomeolvides,"Es un árbol conocido por sus flores, usadas en temáticas ornamentales en áreas tropicales y subtropicales. Hojas verdes oscuras, ovaladas y tiene frutos ovalados comestibles. Es oriunda del Caribe  y norte de Suramérica.", ,377194.142,3150244.06,-16.2544762182,28.4730202561
67.0,ABP,SÍ,47.0,Anacardiaceae,Mangifera indica,Mango,"Árbol tropical de hojas coriáceas, muy apreciado por sus frutos de sabor resinoso. Muchos santacruceros conocieron los mangs por el ejemplar presente en el parque, junto a la nueva cafetería. Oriunda de la India.", ,377223.112,3150261.564,-16.2541822103,28.47318095
68.0,ABP,SÍ,83.0,Moraceae,Ficus virens,Ficus verde,"Árbol de tamaño medio que crece hasta una altura de 8-10 metros en cultivo y hasta 35 metros en lugar de origen. Tiene una copa amplias, raíces aéreas y el tronco con la corteza lisa y tono gris. Oriunda de la India, sureste de Asia y norte de Austra", ,377199.417,3150252.462,-16.2544232398,28.4730965769
69.0,ABR,SÍ,82.0,Araucariaceae,Araucaria heterophylla,Araucaria,"Se trata de una conífera, cuyo nombre vernacular se debe a que este árbol, que no es un pino. Está ampliamente cultivado en todo el mundo por su valor ornamental, Oriundo de la Isla de Norfolk. Australia", ,377285.968,3150088.864,-16.2535218545,28.4716283372
70.0,ABR,SÍ,32.0,Pinaceae,Pinus canariensis,Pino canario,"Árbol excelente, que resiste los incendios, muy apreciado por su madera, nuestra genuina ""tea"", prácticamente incorruptible, de amplio uso en artesonados, vigas y puertas de la arquitectura tradicional canaria. Símbolo de la Palma. Endemismo canario.", ,377174.036,3150235.184,-16.2546806163,28.4729382602
71.0,ABR,SÍ,75.0,Pinaceae,Pinus halepensis,Pino carrasco,"Pino de hasta 20 m.  de altura, hojas aciculares en grupos de 2, de color verde claro. Piñas cónicas y pedunculadas. Especie muy utilizada en repoblaciones forestales de  zona baja y media de Canarias. Madera de baja calidad. Oriunda region mediterrán", ,377312.718,3150161.093,-16.2532563509,28.4722826862
72.0,BRC,Sí,85.0,Malvaceae,Hibiscus elatus,Majo,"Puede alcanzar lños 25 m de altura. Tronco recto de hojas anchas y verdosas, y flores grandes en forma de trompeta con 5 o más pétalos. Crece en lugares húmedos y su bella madera es usada para mobiliario y decoración. Oriunda de Jamaica y Cuba.", ,377240.765,3150025.177,-16.2539767243,28.4710493374
73.0,BRP,SÍ,86.0,Oleaceae,Ligustrum japonicum,Aligustre,"Porte bajo o medio,  entre 8 y 10 metros de altura como máximo. Frecuentemente se presenta en forma arbustiva, sirviendo entonces para formar setos. En forma de árbol tiene ramas rectas y lisas, y forma una copa globosa. Oriunda de Japón y Corea.", ,377185.752,3150158.65,-16.2545527989,28.472248683
74.0,BRP,SÍ,58.0,Salicaceae,Dovyalis caffra,Manzana cafres,"Arbusto o arbolillo de hasta 6 m. de alto, armado de espinas y hojas fasciculadas. Frutos comestibles, amarillentos, de aspecto parecido a una ciruela. Oriunda de África del sur.", ,377291.184,3150090.548,-16.253468763,28.4716440255
75.0,BRP,SÍ,55.0,Apocynaceae,Plumeria rubra,Flor de cera,"Árbol de hasta 10 m. con la corteza lisa y hojas verdes por el haz y glaucas por el envés. Recibe el nombre comun del aspecto de sus flores, de color blanco o rosado, con la garganta amarilla.  Muy frecuente es Canarias. Oriunda de América central.", ,377336.957,3150178.55,-16.253010656,28.4724425082
76.0,BRP,SÍ,56.0,Bignoniaceae,Tecoma stans,Roble amarillo,"Arbusto con flores tubuloso-acampanadas. de color amarillo, que dan lugar a un fruto en cápsula linear persistente. Oriundo de América, desde Arizona hasta el norte de Argentina.", ,377328.501194,3150115.47996,-16.2530902986,28.4718725364
77.0,HER,SÍ,40.0,Pandanaceae,Pandanus utilis,Pándano,"Árbol dioico de ramificación dicótoma y copa piramidal. Su infrutescencia tiene forma de piña, comestible, pero de baja calidad. Oriunda de Madagascar.", ,377208.876,3150239.362,-16.2543252374,28.472979247
78.0,ABC,SÍ,10.0,Paaceae,Bambusa sp,Bambú,"Fáciles de reconocer con su aspecto de cañas, son utilizados en setos y paseos abovedados, aportando un agradable frescor en los días más calurosos. Oriunda de Asia tropical.", ,377189.772803,3150083.98318,-16.2545037733,28.4715752309
79.0,ABL,SÍ,42.0,Apocynaceae,Nerium Oleander,Adelfa,"Arbusto de hojas coriáceas, lanceoladas. Inflorescencias terminales con numerosas flores sencillas o dobles, siempre vistosas: blancas, rojas y crema. Tolera bien la poda y la sequía, siendo frecuente en jardinería. Especia muy tóxica. Oriunda de Bra", ,377227.373998,3150189.28615,-16.2541309776,28.4725290799
80.0,ABL,SÍ,43.0,Nyctaginaceae,Bougainvillea spectabilis,Buganvilla,"Arbusto trepador muy utilizado por la espectacular coloración de sus brácteas florales, de vistosos colores: violeta, rosa, rojo, anaranjado, amarillo, blanco y crema. EN el parque en Paseo Manuel Bonnin Guerin con pérgolas. Oriunda de Madagascar.", ,377212.388568,3150222.69961,-16.2542875868,28.4728292082
81.0,ABL,SÍ,11.0,Euphorbiaceae,Acalypha wilkesiana,Acalifa,"Arbusto con vistosas hojas variegadas, muy utilizado como seto en la jardinería tradicional canaria. debido a que se deja moldear y crece muy rápido, tras ser podado. Oriunda de Polinesia.", ,377174.130149,3150090.94808,-16.2546642739,28.4716366118
82.0,ABL,SÍ,12.0,Arecaceae,Phoenix dactylifera,Palmera datilera,"Palmera ampliamente cultivada por sus frutos comestibles, los dátiles. Oriunda de oeste de Asia y Norte de África.", ,377165.28227,3150098.57803,-16.2547554507,28.4717046347
83.0,ABL,SÍ,29.0,Verbenaceae,Duranta repens,Tala Blanca,"Arbusto ramificado de flores pequeñas y delicado color lila, con frutos amarillo-anaranjados en la madurez. Oriunda de América del sur.", ,377130.220634,3150203.25141,-16.2551247004,28.4726459551
84.0,ABL,SÍ,41.0,Myrtaceae,Eugenia uniflora,Pitanga,"Arbusto de hojas opuestas y rojizas cuando jóvenes, que se tornan progresivamente verdes, más oscuras por el haz y claras por el envés. Sus frutos rojizos son comestibles. Oriunda de Brasil. Argentina y Uruguay.", ,377199.975891,3150222.00012,-16.254414284,28.4728217263
85.0,ABL,SÍ,59.0,Caesalpiniaceae,Bauhinia variegata,Árbol orquídea,"Arbolito caducifolio de hasta 7 m. de altura, también llamado ""pata de vaca"" debido a la forma de pezuña que tienen sus hojas. Flores muy llamativas de color branco, rosa o púrpura, Utilizado por su valor ornamental. Oriuenda de la India y China.", ,377279.884813,3150089.10205,-16.2535840073,28.4716299127
86.0,ABL,SÍ,65.0,Arecaceae,Sabal minor,Palmeto enano,"Palmera copn tronco subterráneo o que sobresale un poco, de hojas palmeadas con el ápice de los foliolos bíficos. Oriunda del sureste de Estados Unidos.", ,377199.736833,3150142.87646,-16.2544082897,28.4721076522
87.0,ABC,NO,68.0,Minosaceae,Enterolobium contortisiliquum,Morong,"Árbol caducifolio de hasta 20 m. de alto, de hojas bipinnadas. Fruto en legumbre retorcida, auricular y de color negro, por eso el nombre de ""oreja de negro. La corteza y sus frutos se usan como sustituto al jabón. Oriunda de Brasil, Bolivia y Argentin", ,377263.037035,3150219.95872,-16.2537700173,28.4728092431
88.0,ABL,NO,69.0,Arecaceae,Brahea armata,Palmera azul,"Palmera de hasta 12 m. de alto, con el tronco ensanchado hacia la base. Hojas en forma de abanico, de un color verde  azulado, del que toma su nombre común y por el que se aprecia como ornamental. Oriunda del noroeste de Méjico y Baja California.", ,377241.877996,3150211.94712,-16.2539852626,28.4727349499
89.0,ABL,SÍ,11.0,Euphorbiaceae,Acalypha wilkesiana,Acalifa,"Arbusto con vistosas hojas variegadas, muy utilizado como seto en la jardinería tradicional canaria. debido a que se deja moldear y crece muy rápido, tras ser podado. Oriunda de Polinesia.", ,377245.445202,3150034.76046,-16.2539299471,28.4711362641
90.0,ABL,SÍ,84.0,Arecaceae,Bismarckia nobilis,Palmera de Bismarck,"Árbol con tronco de color gris con hendiduras anilladas. Los pecíolos tienen entre 2 y 3 metros de largo, ligeramente armados y están cubiertos en un color blanco de cera o de color canela. Oriunda de Madagascar.", ,377320.528218,3150111.01726,-16.2531712513,28.4718315124
91.0,ABL,SÍ,87.0,Arecaceae,Phoenix roebelenii,Palmera enana,"Altura máxima de 5 m, pero generalmente su tronco no mide más de 1 m de altura. Sus hojas son pinnatisectas. Sus flores son diminutas, amarillentas, producidas en una inflorescencia de 45 cm de largo. Oriunda de Asia y suroeste de China.", ,377313.782138,3150300.55512,-16.2532603382,28.4735413629
